GENE	Liver_Primary.Tumor_Hepatocellular.Carcinoma: GSM102503	Liver_Primary.Tumor_Hepatocellular.Carcinoma: GSM117657	Liver_Primary.Tumor_Hepatocellular.Carcinoma: GSM137909	Liver_Primary.Tumor_Hepatocellular.Carcinoma: GSM137962	Liver_Primary.Tumor_Hepatocellular.Carcinoma: GSM179952	Liver_Primary.Tumor_Hepatocellular.Carcinoma: GSM203676	Liver_Primary.Tumor_Hepatocellular.Carcinoma: GSM203750	Liver_Primary.Tumor_Hepatocellular.Carcinoma: GSM203751	Liver_Primary.Tumor_Hepatocellular.Carcinoma: GSM231890	Liver_Primary.Tumor_Hepatocellular.Carcinoma: GSM325800	Liver_Primary.Tumor_Hepatocellular.Carcinoma: GSM76644
AKT3	34.53	33.55	28.58	26.78	27.29	28.58	31.66	26.40	33.44	31.95	23.97
MED6	219.46	231.79	315.13	169.50	287.34	256.60	256.68	192.55	176.40	329.49	217.17
NR2E3	27.55	47.44	24.04	26.46	28.59	30.15	24.96	29.98	26.57	30.04	27.84
NAALAD2	15.60	13.87	13.41	12.41	13.31	14.05	16.12	14.07	16.60	41.77	35.60
CDKN2B-AS1	34.66	46.87	29.30	27.56	28.99	30.25	25.92	27.93	28.55	29.62	27.43
LOC100049716	56.44	90.20	47.87	93.05	125.19	88.10	61.10	56.03	65.20	98.46	60.15
NAALADL1	58.34	80.60	63.55	61.12	63.12	60.28	59.89	61.83	89.83	124.69	46.48
ACOT8	246.56	407.29	293.82	231.07	709.72	312.06	303.22	200.34	267.15	359.16	432.30
ABI1	510.19	531.97	458.48	495.21	606.60	595.56	598.79	658.03	607.36	557.72	520.01
GNPDA1	818.14	686.73	355.67	388.00	300.14	475.50	470.68	785.57	257.21	143.53	373.56
KCNE3	68.53	49.78	60.90	65.02	50.78	74.42	56.25	68.32	54.62	54.29	64.97
SNHG8	764.25	360.81	1575.51	817.68	974.49	749.61	816.83	631.83	855.31	1670.31	1106.59
ZBTB33	345.25	332.71	943.12	358.29	392.95	829.90	441.26	277.22	309.95	309.84	586.30
CDH2	213.38	91.27	514.78	498.86	241.05	169.82	289.20	81.30	340.05	166.44	385.18
ZSCAN30	140.97	219.69	173.38	145.13	143.95	110.61	126.26	84.31	113.80	90.16	127.80
TANK	402.71	227.99	360.69	400.65	140.72	280.90	511.15	359.81	554.68	350.34	340.66
C19orf64	120.62	254.14	110.38	86.58	103.01	139.02	103.58	110.03	126.72	101.42	110.41
TMEM170B	20.10	24.63	160.96	20.47	153.02	252.07	65.13	21.45	239.22	67.29	204.36
SRA1	545.68	336.93	403.60	275.35	862.15	573.76	414.92	512.85	501.22	547.15	686.40
HOTAIR	12.18	12.49	11.20	11.84	14.76	10.63	10.43	12.18	11.75	11.38	12.76
ZGLP1	180.81	234.69	203.38	121.13	145.20	93.33	113.17	181.43	128.73	99.72	112.59
LOC100126784	27.03	31.94	42.90	33.13	29.22	31.68	23.69	31.88	29.42	25.61	28.82
LOC100127886	13.03	13.12	12.93	12.66	14.75	13.02	13.68	13.76	12.74	11.20	11.52
LOC100127891	37.53	72.54	43.71	109.65	46.42	65.83	40.28	44.66	41.07	49.56	43.08
LOC100127971	35.85	33.31	23.95	22.96	31.77	26.76	27.46	31.49	24.81	22.84	28.06
LOC100127972	140.69	70.61	37.70	28.00	29.86	29.69	45.10	211.26	56.15	38.71	36.17
LOC100127980	19.86	14.15	64.65	60.94	25.43	25.82	20.63	22.38	35.59	21.87	13.92
C8orf88	61.70	44.05	29.06	38.51	30.64	43.66	40.93	55.56	51.62	33.77	32.20
LOC100128003	53.09	100.40	61.63	50.25	92.35	70.99	59.82	73.69	64.54	79.36	64.29
LOC100128008	60.13	63.31	122.10	83.11	38.88	50.14	36.98	35.98	64.47	41.72	73.62
WWTR1-AS1	23.69	25.06	20.65	20.09	19.60	21.01	19.39	23.10	23.50	19.49	18.97
SLC2A3P1	1214.80	534.41	2051.41	551.88	1399.02	1289.86	1175.62	1423.87	1484.13	2265.01	1276.87
FAM229A	133.54	102.94	66.87	113.17	111.55	122.65	82.12	119.43	91.45	106.17	73.67
LOC100128074	67.02	64.78	70.68	61.03	57.81	52.78	45.22	83.92	52.04	53.69	65.17
LOC100128090	36.57	34.25	29.85	26.03	28.28	30.90	28.04	31.92	27.05	24.11	24.39
LOC100128093	45.18	32.47	27.57	30.91	30.01	25.83	21.24	26.68	26.13	23.81	28.03
ST8SIA6-AS1	40.69	33.33	30.67	46.42	230.66	32.06	133.57	28.25	104.53	222.12	58.22
STAU2-AS1	40.55	40.01	43.41	51.39	44.84	36.89	44.72	32.22	28.28	32.23	41.66
LINC01233	14.34	12.24	12.81	11.57	12.33	16.23	14.50	13.20	12.70	14.34	11.85
LOC100128175	21.08	24.93	15.44	20.28	18.91	19.87	19.44	21.02	18.26	15.04	19.01
LOC100128178	22.79	20.21	27.11	20.22	19.38	20.53	40.27	19.39	38.40	20.22	21.12
LOC100128180	13.29	10.54	15.91	14.79	13.53	14.35	11.60	16.00	14.34	14.92	16.59
TMPO-AS1	34.65	26.00	38.76	49.80	40.60	29.99	30.67	21.38	46.96	40.18	29.07
LOC100128193	69.67	101.72	66.86	62.20	81.11	81.71	62.17	87.94	73.72	69.16	100.22
LOC100128198	46.34	50.12	43.51	50.41	49.35	50.06	43.29	48.07	48.79	46.00	54.02
GAFA3	23.60	49.20	24.44	23.26	16.64	13.85	16.77	21.45	18.20	16.73	13.75
LOC100128259	54.63	65.03	58.89	56.73	43.59	53.58	48.18	57.91	48.97	40.48	46.67
LOC100128288	69.44	44.62	43.00	55.72	37.42	46.48	40.14	166.93	28.14	41.69	51.81
LOC100128309	53.20	87.23	43.85	54.95	50.71	49.50	38.63	44.43	39.60	34.02	44.74
LOC100128325	38.68	43.22	34.19	24.66	31.95	42.78	28.87	45.48	37.00	39.01	49.20
LOC100128334	128.20	138.35	167.54	115.09	104.46	118.82	88.98	199.54	166.11	140.69	241.55
LOC100128361	52.75	49.59	57.86	46.33	51.31	48.68	43.34	48.84	51.10	47.26	44.23
LOC100128370	14.92	17.08	13.88	17.36	16.08	19.74	16.39	16.33	15.91	13.06	16.61
LOC100128392	26.70	34.99	21.02	22.54	26.53	25.51	24.39	23.20	22.93	24.59	21.52
LOC100128403	69.58	85.22	58.97	49.19	51.84	39.89	54.94	60.29	43.26	63.88	42.59
LOC100128414	15.99	16.97	12.90	20.15	16.63	18.26	15.10	14.80	13.03	23.99	18.21
LOC100128434	25.63	40.61	20.63	20.49	22.69	22.19	25.28	22.76	22.08	22.01	22.36
LOC100128443	42.46	67.15	57.80	59.55	50.42	64.69	57.16	58.54	52.45	53.21	80.78
LOC100128490	34.48	51.73	28.36	47.92	32.68	126.51	47.67	43.59	29.33	33.06	36.64
