GENE	Liver_Normal.Tissue: GSM176332	Liver_Normal.Tissue: GSM176333	Liver_Normal.Tissue: GSM176334	Liver_Normal.Tissue: GSM176335	Liver_Normal.Tissue: GSM279063	Liver_Normal.Tissue: GSM279064	Liver_Normal.Tissue: GSM279065
AKT3	26.12	26.48	25.77	25.38	25.84	25.26	28.75
MED6	96.27	82.46	79.91	105.23	120.99	130.83	81.09
NR2E3	29.38	26.79	29.89	26.64	29.56	28.60	30.75
NAALAD2	15.30	14.91	15.28	16.62	20.52	15.54	18.99
CDKN2B-AS1	27.61	29.14	27.27	24.72	25.99	26.64	24.52
LOC100049716	92.97	106.23	60.91	61.86	86.27	95.48	104.24
NAALADL1	79.19	65.05	67.14	72.47	62.38	64.02	60.48
ACOT8	208.38	201.55	182.96	205.71	204.72	209.98	204.11
ABI1	246.77	223.15	286.78	248.00	393.69	335.04	312.97
GNPDA1	341.16	213.10	367.04	246.77	142.05	171.85	209.92
KCNE3	54.63	47.91	53.92	48.23	46.27	46.34	51.41
SNHG8	841.49	1321.17	661.64	711.44	632.62	645.83	728.26
ZBTB33	329.31	186.68	256.80	252.27	311.63	306.34	289.52
CDH2	378.59	479.07	415.35	408.08	344.82	337.23	295.89
ZSCAN30	122.28	139.44	162.74	166.53	155.83	147.72	130.06
TANK	175.58	235.68	211.16	191.59	269.98	261.67	269.10
C19orf64	180.01	167.34	167.67	176.31	203.28	196.15	185.66
TMEM170B	65.71	56.37	135.05	51.18	223.73	208.17	188.80
SRA1	354.17	239.15	395.57	409.69	322.67	313.52	361.79
HOTAIR	11.50	11.29	12.38	11.53	11.99	12.59	11.78
ZGLP1	221.95	216.00	155.95	166.08	271.97	266.00	281.76
LOC100126784	34.34	31.75	40.64	28.64	27.42	24.64	26.92
LOC100127886	11.42	10.17	12.61	11.70	12.08	11.50	12.68
LOC100127891	59.25	51.12	40.63	46.56	46.56	54.83	49.52
LOC100127971	32.96	31.74	29.36	30.06	29.16	48.54	30.82
LOC100127972	37.42	37.14	37.55	33.29	36.90	39.68	44.84
LOC100127980	66.88	70.41	83.52	43.40	17.82	25.70	16.41
C8orf88	24.31	25.40	25.33	24.86	41.78	47.31	51.34
LOC100128003	97.05	86.86	67.78	70.90	60.27	73.13	81.27
LOC100128008	154.70	111.80	74.93	109.36	55.76	49.34	51.21
WWTR1-AS1	16.71	19.26	21.02	19.15	22.61	22.58	19.41
SLC2A3P1	1209.09	1437.45	2403.63	1020.17	1935.78	2002.80	2033.85
FAM229A	302.71	254.21	182.24	143.81	129.97	180.84	175.11
LOC100128074	62.15	55.86	61.27	52.63	65.13	57.86	73.67
LOC100128090	27.56	25.86	22.78	26.70	25.89	24.25	28.34
LOC100128093	35.17	21.95	24.02	19.54	35.91	33.24	42.72
ST8SIA6-AS1	55.04	53.33	58.35	67.98	43.97	34.54	39.24
